Authors	Title	Journal	Abstract	sample_size	patients	healthy	comments	network_size_nodes	network size networks	association	modelling	inclusion_strategy	weighted	deconfounding	deconfounding_level	notes deconfounding 	exclude	reason	questions deconfounding	comments	feedback	Seed based or PPI?	Anouk	Linda	threshold used
Alshelh, Z and Brusaferri, L and Saha, A and Morrissey, E and Knight, P and Kim, M and Zhang, Y and Hooker, JM and Albrecht, D and Torrado-Carvajal, A and Placzek, MS and Akeju, O and Price, J and Edwards, RR and Lee, J and Sclocco, R and Catana, C and Napadow, V and Loggia, ML and Alshelh, Zeynab and Brusaferri, Ludovica and Saha, Atreyi and Morrissey, Erin and Knight, Paulina and Kim, Minhae and Zhang, Yi and Hooker, Jacob M. and Albrecht, Daniel and Torrado-Carvajal, Angel and Placzek, Michael S. and Akeju, Oluwaseun and Price, Julie and Edwards, Robert R. and Lee, Jeungchan and Sclocco, Roberta and Catana, Ciprian and Napadow, Vitaly and Loggia, Marco L.	Neuroimmune signatures in chronic low back pain subtypes	BRAIN	We recently showed that patients with different chronic pain conditions (such as chronic low back pain, fibromyalgia, migraine and Gulf War illness) demonstrated elevated brain and/or spinal cord levels of the glial marker 18-kDa translocator protein (TSPO), which suggests that neuroinflammation might be a pervasive phenomenon observable across multiple aetiologically heterogeneous pain disorders. Interestingly, the spatial distribution of this neuroinflammatory signal appears to exhibit a degree of disease specificity (e.g. with respect to the involvement of the primary somatosensory cortex), suggesting that different pain conditions may exhibit distinct 'neuroinflammatory signatures'. To explore this hypothesis further, we tested whether neuroinflammatory signal can characterize putative aetiological subtypes of chronic low back pain patients based on clinical presentation. Specifically, we explored neuroinflammation in patients whose chronic low back pain either did or did not radiate to the leg (i.e. 'radicular' versus 'axial' back pain). Fifty-four patients with chronic low back pain, 26 with axial back pain [43.7 +/- 16.6 years old (mean +/- SD)] and 28 with radicular back pain (48.3 +/- 13.2 years old), underwent PET/MRI with C-11-PBR28, a second-generation radioligand for TSPO. C-11-PBR28 signal was quantified using standardized uptake values ratio (validated against volume of distribution ratio; n = 23). Functional MRI data were collected simultaneously to the C-11-PBR28 data (i) to functionally localize the primary somatosensory cortex back and leg subregions; and (ii) to perform functional connectivity analyses (in order to investigate possible neurophysiological correlations of the neuroinflammatory signal). PET and functional MRI measures were compared across groups, cross-correlated with one another and with the severity of 'fibromyalgianess' (i.e. the degree of pain centralization, or 'nociplastic pain'). Furthermore, statistical mediation models were used to explore possible causal relationships between these three variables. For the primary somatosensory cortex representation of back/leg, C-11-PBR28 PET signal and functional connectivity to the thalamus were: (i) higher in radicular compared to axial back pain patients; (ii) positively correlated with each other; (iii) positively correlated with fibromyalgianess scores, across groups; and finally (iv) fibromyalgianess mediated the association between C-11-PBR28 PET signal and primary somatosensory cortex-thalamus connectivity across groups. Our findings support the existence of 'neuroinflammatory signatures' that are accompanied by neurophysiological changes and correlate with clinical presentation (in particular, with the degree of nociplastic pain) in chronic pain patients. These signatures may contribute to the subtyping of distinct pain syndromes and also provide information about interindividual variability in neuroimmune brain signals, within diagnostic groups, that could eventually serve as targets for mechanism-based precision medicine approaches.														yes	wrong outcome (analysis)		#NAAM?	ROI to ROI analysis (S1 - thalamus). Wasn't that exclusion? 				
Amiri, M and Fisher, PM and Raimondo, F and Sidaros, A and Hribljan, MC and Othman, MH and Zibrandtsen, I and Albrechtsen, SA and Bergdal, O and Hansen, AE and Hassager, C and Hojgaard, JLS and Jakobsen, EW and Jensen, HR and Moller, J and Nersesjan, V and Nikolic, M and Olsen, MH and Sigurdsson, ST and Sitt, JD and Solling, C and Welling, KL and Willumsen, LM and Hauerberg, J and Larsen, VA and Fabricius, ME and Knudsen, GM and Kjaergaard, J and Moller, K and Kondziella, D and Amiri, Moshgan and Fisher, Patrick M. and Raimondo, Federico and Sidaros, Annette and Hribljan, Melita Cacic and Othman, Marwan H. and Zibrandtsen, Ivan and Albrechtsen, Simon A. and Bergdal, Ove and Hansen, Adam Espe and Hassager, Christian and Hojgaard, Joan Lilja S. and Jakobsen, Elisabeth Waldemar and Jensen, Helene Ravnholt and Moller, Jacob and Nersesjan, Vardan and Nikolic, Miki and Olsen, Markus Harboe and Sigurdsson, Sigurdur Thor and Sitt, Jacobo D. and Solling, Christine and Welling, Karen Lise and Willumsen, Lisette M. and Hauerberg, John and Larsen, Vibeke Andree and Fabricius, Martin Ejler and Knudsen, Gitte Moos and Kjaergaard, Jesper and Moller, Kirsten and Kondziella, Daniel	Multimodal prediction of residual consciousness in the intensive care unit: the CONNECT-ME study	BRAIN	Functional MRI (fMRI) and EEG may reveal residual consciousness in patients with disorders of consciousness (DoC), as reflected by a rapidly expanding literature on chronic DoC. However, acute DoC is rarely investigated, although identifying residual consciousness is key to clinical decision-making in the intensive care unit (ICU). Therefore, the objective of the prospective, observational, tertiary centre cohort, diagnostic phase IIb study 'Consciousness in neurocritical care cohort study using EEG and fMRI' (CONNECT-ME, NCT02644265) was to assess the accuracy of fMRI and EEG to identify residual consciousness in acute DoC in the ICU. Between April 2016 and November 2020, 87 acute DoC patients with traumatic or non-traumatic brain injury were examined with repeated clinical assessments, fMRI and EEG. Resting-state EEG and EEG with external stimulations were evaluated by visual analysis, spectral band analysis and a Support Vector Machine (SVM) consciousness classifier. In addition, within- and between-network resting-state connectivity for canonical resting-state fMRI networks was assessed. Next, we used EEG and fMRI data at study enrolment in two different machine-learning algorithms (Random Forest and SVM with a linear kernel) to distinguish patients in a minimally conscious state or better (>= MCS) from those in coma or unresponsive wakefulness state (<= UWS) at time of study enrolment and at ICU discharge (or before death). Prediction performances were assessed with area under the curve (AUC). Of 87 DoC patients (mean age, 50.0 +/- 18 years, 43% female), 51 (59%) were <= UWS and 36 (41%) were >= MCS at study enrolment. Thirty-one (36%) patients died in the ICU, including 28 who had life-sustaining therapy withdrawn. EEG and fMRI predicted consciousness levels at study enrolment and ICU discharge, with maximum AUCs of 0.79 (95% CI 0.77-0.80) and 0.71 (95% CI 0.77-0.80), respectively. Models based on combined EEG and fMRI features predicted consciousness levels at study enrolment and ICU discharge with maximum AUCs of 0.78 (95% CI 0.71-0.86) and 0.83 (95% CI 0.75-0.89), respectively, with improved positive predictive value and sensitivity. Overall, both machine-learning algorithms (SVM and Random Forest) performed equally well. In conclusion, we suggest that acute DoC prediction models in the ICU be based on a combination of fMRI and EEG features, regardless of the machine-learning algorithm used.	87	87	NA	fC only analysed for 64	42	NA	full correlation	individual	not specified	yes	Multiple	Before network estimation	before: scan related (motion), physiological (band-pass filtering, denoising with Conn toolbox)	no			#NAAM?					
Elias, GJB and Germann, J and Boutet, A and Loh, A and Li, B and Pancholi, A and Beyn, ME and Naheed, A and Bennett, N and Pinto, J and Bhat, V and Giacobbe, P and Woodside, DB and Kennedy, SH and Lozano, AM and Elias, Gavin J. B. and Germann, Jurgen and Boutet, Alexandre and Loh, Aaron and Li, Bryan and Pancholi, Aditya and Beyn, Michelle E. and Naheed, Asma and Bennett, Nicole and Pinto, Jessica and Bhat, Venkat and Giacobbe, Peter and Woodside, D. Blake and Kennedy, Sidney H. and Lozano, Andres M.	3T MRI of rapid brain activity changes driven by subcallosal cingulate deep brain stimulation	BRAIN	Using 3T functional MRI, Elias et al. show that subcallosal cingulate DBS acutely alters activity in brain regions implicated in mood, including dorsal anterior cingulate cortex, in patients with symptoms of depression. The observed changes correlate with both immediate mood fluctuations and long-term antidepressant outcomes. Deep brain stimulation targeting the subcallosal cingulate area, a hub with multiple axonal projections, has shown therapeutic potential for treatment-resistant mood disorders. While subcallosal cingulate deep brain stimulation drives long-term metabolic changes in corticolimbic circuits, the brain areas that are directly modulated by electrical stimulation of this region are not known. We used 3.0 T functional MRI to map the topography of acute brain changes produced by stimulation in an initial cohort of 12 patients with fully implanted deep brain stimulation devices targeting the subcallosal cingulate area. Four additional subcallosal cingulate deep brain stimulation patients were also scanned and employed as a validation cohort. Participants underwent resting state scans (n = 78 acquisitions overall) during (i) inactive deep brain stimulation; (ii) clinically optimal active deep brain stimulation; and (iii) suboptimal active deep brain stimulation. All scans were acquired within a single MRI session, each separated by a 5-min washout period. Analysis of the amplitude of low-frequency fluctuations in each sequence indicated that clinically optimal deep brain stimulation reduced spontaneous brain activity in several areas, including the bilateral dorsal anterior cingulate cortex, the bilateral posterior cingulate cortex, the bilateral precuneus and the left inferior parietal lobule (P-Bonferroni < 0.0001). Stimulation-induced dorsal anterior cingulate cortex signal reduction correlated with immediate within-session mood fluctuations, was greater at optimal versus suboptimal settings and was related to local cingulum bundle engagement. Moreover, linear modelling showed that immediate changes in dorsal anterior cingulate cortex, posterior cingulate cortex and precuneus activity could predict individual long-term antidepressant improvement. A model derived from the primary cohort that incorporated amplitude of low-frequency fluctuations changes in these three areas (along with preoperative symptom severity) explained 55% of the variance in clinical improvement in that cohort. The same model also explained 93% of the variance in the out-of-sample validation cohort. Additionally, all three brain areas exhibited significant changes in functional connectivity between active and inactive deep brain stimulation states (P-Bonferroni < 0.01). These results provide insight into the network-level mechanisms of subcallosal cingulate deep brain stimulation and point towards potential acute biomarkers of clinical response that could help to optimize and personalize this therapy.	985			985 HCP + 16 experiment (12 training, 4 testing)	7	NA	full correlation	individual	no	yes	Multiple	Before network estimation	before: scan related (motion, linear detrending), physiological (nuisance covariate regression, global signal regression, band-pass filtering)	no			#NAAM?	seed to whole-brain as secondary analysis. Primary analysis FALFF. Nodes are seeds in this case, do we want to report? 				
Hensel, L and Lange, F and Tscherpel, C and Viswanathan, S and Freytag, J and Volz, LJ and Eickhoff, SB and Fink, GR and Grefkes, C and Hensel, Lukas and Lange, Fabian and Tscherpel, Caroline and Viswanathan, Shivakumar and Freytag, Jana and Volz, Lukas J. and Eickhoff, Simon B. and Fink, Gereon R. and Grefkes, Christian	Recovered grasping performance after stroke depends on interhemispheric frontoparietal connectivity	BRAIN	Activity changes in the ipsi- and contralesional parietal cortex and abnormal interhemispheric connectivity between these regions are commonly observed after stroke, however, their significance for motor recovery remains poorly understood. We here assessed the contribution of ipsilesional and contralesional anterior intraparietal cortex (aIPS) for hand motor function in 18 recovered chronic stroke patients and 18 healthy control subjects using a multimodal assessment consisting of resting-state functional MRI, motor task functional MRI, online-repetitive transcranial magnetic stimulation (rTMS) interference, and 3D movement kinematics. Effects were compared against two control stimulation sites, i.e. contralesional M1 and a sham stimulation condition. We found that patients with good motor outcome compared to patients with more substantial residual deficits featured increased resting-state connectivity between ipsilesional aIPS and contralesional aIPS as well as between ipsilesional aIPS and dorsal premotor cortex. Moreover, interhemispheric connectivity between ipsilesional M1 and contralesional M1 as well as ipsilesional aIPS and contralesional M1 correlated with better motor performance across tasks. TMS interference at individual aIPS and M1 coordinates led to differential effects depending on the motor task that was tested, i.e. index finger-tapping, rapid pointing movements, or a reach-grasp-lift task. Interfering with contralesional aIPS deteriorated the accuracy of grasping, especially in patients featuring higher connectivity between ipsi- and contralesional aIPS. In contrast, interference with the contralesional M1 led to impaired grasping speed in patients featuring higher connectivity between bilateral M1. These findings suggest differential roles of contralesional M1 and aIPS for distinct aspects of recovered hand motor function, depending on the reorganization of interhemispheric connectivity.	36	18	18	NA	3	NA	full correlation	individual	yes (thresholding)	yes	Multiple	Before network estimation	before: age (sample matching), gender (sample matching), scan related (motion), physiological (nuisance covariate regression, band-pass filtering)	no								
Arzate-Mena, JD and Abela, E and Olguin-Rodriguez, PV and Rios-Herrera, W and Alcauter, S and Schindler, K and Wiest, R and Muller, MF and Rummel, C and Daniel Arzate-Mena, J. and Abela, Eugenio and Olguin-Rodriguez, Paola, V and Rios-Herrera, Wady and Alcauter, Sarael and Schindler, Kaspar and Wiest, Roland and Mueller, Markus F. and Rummel, Christian	Stationary EEG pattern relates to large-scale resting state networks - An EEG-fMRI study connecting brain networks across time-scales	NEUROIMAGE	Relating brain dynamics acting on time scales that differ by at least an order of magnitude is a fundamental issue in brain research. The same is true for the observation of stable dynamical structures in otherwise highly non-stationary signals. The present study addresses both problems by the analysis of simultaneous resting state EEG-fMRI recordings of 53 patients with epilepsy. Confirming previous findings, we observe a generic and temporally stable average correlation pattern in EEG recordings. We design a predictor for the General Linear Model describing fluctuations around the stationary EEG correlation pattern and detect resting state networks in fMRI data. The acquired statistical maps are contrasted to several surrogate tests and compared with maps derived by spatial Independent Component Analysis of the fMRI data. By means of the proposed EEG-predictor we observe core nodes of known fMRI resting state networks with high specificity in the default mode, the executive control and the salience network. Our results suggest that both, the stationary EEG pattern as well as resting state fMRI networks are different expressions of the same brain activity. This activity is interpreted as the dynamics on (or close to) a stable attractor in phase space that is necessary to maintain the brain in an efficient operational mode. We discuss that this interpretation is congruent with the theoretical framework of complex systems as well as with the brain's energy balance.														yes	wrong outcome (analysis)		#NAAM?		no			
Kim, T and Kim, M and Jung, WH and Bin Kwak, Y and Moon, SY and Lho, SK and Lee, J and Kwon, JS and Kim, Taekwan and Kim, Minah and Jung, Wi Hoon and Bin Kwak, Yoo and Moon, Sun-Young and Lho, Silvia Kyungjin and Lee, Junhee and Kwon, Jun Soo	Unbalanced fronto-pallidal neurocircuit underlying set shifting in obsessive- compulsive disorder	BRAIN	Maladaptive habitual behaviours of obsessive-compulsive disorder are characterized by cognitive inflexibility, which hypothetically arises from dysfunctions of a certain cortico-basal ganglia-thalamo-cortical circuit including the ventrolateral prefrontal region. Inside this neurocircuit, an imbalance between distinct striatal projections to basal ganglia output nuclei, either directly or indirectly via the external globus pallidus, is suggested to be relevant for impaired arbitration between facilitation and inhibition of cortically initiated activity. However, current evidence of individually altered cortico-striatal or thalamo-cortical connectivities is insufficient to understand how cortical dysconnections are linked to the imbalanced basal ganglia system in patients. In this study, we aimed to identify aberrant ventrolateral prefronto-basal ganglia-thalamic subnetworks representing direct-indirect imbalance and its association with cognitive inflexibility in patients. To increase network detection sensitivity, we constructed a cortico-basal ganglia-thalamo-cortical network model incorporating striatal, pallidal and thalamic subregions defined by unsupervised clustering in 105 medication-free patients with obsessive-compulsive disorder (age = 25.05 +/- 6.55 years, male/female = 70/35) and 99 healthy controls (age = 23.93 +/- 5.80 years, male/female = 64/35). By using the network-based statistic method, we analysed group differences in subnetworks formed by suprathreshold dysconnectivities. Using linear regression models, we tested subnetwork dysconnectivity effects on symptom severity and set-shifting performance assessed by well-validated clinical and cognitive tests. Compared with the healthy controls, patients were slower to track the Part B sequence of the Trail Making Test when the effects of psychomotor and visuospatial functions were adjusted (t= 3.89, P <0.001) and made more extradimensional shift errors (t= 4.09, P < 0.001). In addition to reduced fronto-striatal and striato-external pallidal connectivities and hypoconnected striato-thalamic subnetwork [P = 0.001, family-wise error rate (FWER) corrected], patients had hyperconnected fronto-external pallidal (P = 0.012, FWER corrected) and infra-thalamic (P = 0.015, FWER corrected) subnetworks compared with the healthy controls. Among the patients, the fronto-pallidal subnetwork alteration, especially ventrolateral prefronto-external globus pallidal hyperconnectivity, was associated with relatively fewer extradimensional shifting errors beta = -0.30, P = 0.001). Our findings suggest that the hyperconnected fronto-external pallidal subnetwork may have an opposite effect to the imbalance caused by the reduced indirect pathway (fronto-striato-external pallidal) connectivities in patients. This ventrolateral prefrontal hyperconnectivity may help the external globus pallidus disinhibit basal ganglia output nuclei, which results in behavioural inhibition, so as to compensate for the impaired set shifting. We suggest the ventrolateral prefrontal and external globus pallidus as neuromodulatory targets for inflexible habitual behaviours in obsessive-compulsive disorder.	204	105	99	NA	106	NA	full correlation	individual	yes (thresholding)	yes	Multiple	Before network estimation	before: age (sample matching), sex (sample matching), other (handedness, IQ (all sample matching)) scan related (motion, linear detrending), physiological (nuisance covariate regression, band-pass filtering)	no								
Ayyildiz, S and Velioglu, HA and Ayyildiz, B and Sutcubasi, B and Hanoglu, L and Bayraktaroglu, Z and Yildirim, S and Atasever, A and Yulug, B and Ayyildiz, Sevilay and Velioglu, Halil Aziz and Ayyildiz, Behcet and Sutcubasi, Bernis and Hanoglu, Lutfu and Bayraktaroglu, Zubeyir and Yildirim, Suleyman and Atasever, Alper and Yulug, Burak	Differentiation of claustrum resting-state functional connectivity in healthy aging, Alzheimer's disease, and Parkinson's disease	HUMAN BRAIN MAPPING	The claustrum is a sheet-like of telencephalic gray matter structure whose function is poorly understood. The claustrum is considered a multimodal computing network due to its reciprocal connections with almost all cortical areas as well as subcortical structures. Although the claustrum has been involved in several neurodegenerative diseases, specific changes in connections of the claustrum remain unclear in Alzheimer's disease (AD), and Parkinson's disease (PD). Resting-state fMRI and T1-weighted structural 3D images from healthy elderly (n = 15), AD (n = 16), and PD (n = 12) subjects were analyzed. Seed-based FC analysis was performed using CONN FC toolbox and T1-weighted images were analyzed with the Computational Anatomy Toolbox for voxel-based morphometry analysis. While we observed a decreased FC between the left claustrum and sensorimotor cortex, auditory association cortex, and cortical regions associated with social cognition in PD compared with the healthy control group (HC), no significant difference was found in alterations in the FC of both claustrum comparing the HC and AD groups. In the AD group, high FC of claustrum with regions of sensorimotor cortex and cortical regions related to cognitive control, including cingulate gyrus, supramarginal gyrus, and insular cortex were demonstrated. In addition, the structural results show significantly decreased volume in bilateral claustrum in AD and PD compared with HC. There were no significant differences in the claustrum volumes between PD and AD groups so the FC may offer more precise findings in distinguishing changes for claustrum in AD and PD.														yes	wrong outcome (analysis)		"- only passage possibly indicative of a network being constructed, but no more information: ""The ROIs used average time series as seed and then the analysis computed the correlation coefficients between these average time series and the BOLD time series at each voxel. For statistical analysis, these correlation coefficients were z-transformed using the Fisher transformation. All ROI z values were compared across the three groups using ANOVA at the second level, with punc <0.001 at the voxel level and FWE adjusted pFWE <0.05 at the cluster level. The Bonferroni-corrected data were given after p values were corrected for multiple comparisons (pFWEBC: 0.025)."""		seed-based			
Park, BY and Lariviere, S and Rodriguez-Cruces, R and Royer, J and Tavakol, S and Wang, YZ and Caciagli, L and Caligiuri, ME and Gambardella, A and Concha, L and Keller, SS and Cendes, F and Alvim, MKM and Yasuda, C and Bonilha, L and Gleichgerrcht, E and Focke, NK and Kreilkamp, BAK and Domin, M and von Podewils, F and Langner, S and Rummel, C and Rebsamen, M and Wiest, R and Martin, P and Kotikalapudi, R and Bender, B and O'Brien, TJ and Law, M and Sinclair, B and Vivash, L and Kwan, P and Desmond, PM and Malpas, CB and Lui, E and Alhusaini, S and Doherty, CP and Cavalleri, GL and Delanty, N and Kalviainen, R and Jackson, GD and Kowalczyk, M and Mascalchi, M and Semmelroch, M and Thomas, RH and Soltanian-Zadeh, H and Davoodi-Bojd, E and Zhang, JS and Lenge, M and Guerrini, R and Bartolini, E and Hamandi, K and Foley, S and Weber, B and Depondt, C and Absil, J and Carr, SJA and Abela, E and Richardson, MP and Devinsky, O and Severino, M and Striano, P and Parodi, C and Tortora, D and Hatton, SN and Vos, SB and Duncan, JS and Galovic, M and Whelan, CD and Bargallo, N and Pariente, J and Conde-Blanco, E and Vaudano, AE and Tondelli, M and Meletti, S and Kong, XZ and Francks, C and Fisher, SE and Caldairou, B and Ryten, M and Labate, A and Sisodiya, SM and Thompson, PM and McDonald, CR and Bernasconi, A and Bernasconi, N and Bernhardt, BC and Park, Bo-yong and Lariviere, Sara and Rodriguez-Cruces, Raul and Royer, Jessica and Tavakol, Shahin and Wang, Yezhou and Caciagli, Lorenzo and Caligiuri, Maria Eugenia and Gambardella, Antonio and Concha, Luis and Keller, Simon S. and Cendes, Fernando and Alvim, Marina K. M. and Yasuda, Clarissa and Bonilha, Leonardo and Gleichgerrcht, Ezequiel and Focke, Niels K. and Kreilkamp, Barbara A. K. and Domin, Martin and von Podewils, Felix and Langner, Soenke and Rummel, Christian and Rebsamen, Michael and Wiest, Roland and Martin, Pascal and Kotikalapudi, Raviteja and Bender, Benjamin and O'Brien, Terence J. and Law, Meng and Sinclair, Benjamin and Vivash, Lucy and Kwan, Patrick and Desmond, Patricia M. and Malpas, Charles B. and Lui, Elaine and Alhusaini, Saud and Doherty, Colin P. and Cavalleri, Gianpiero L. and Delanty, Norman and Kalviainen, Reetta and Jackson, Graeme D. and Kowalczyk, Magdalena and Mascalchi, Mario and Semmelroch, Mira and Thomas, Rhys H. and Soltanian-Zadeh, Hamid and Davoodi-Bojd, Esmaeil and Zhang, Junsong and Lenge, Matteo and Guerrini, Renzo and Bartolini, Emanuele and Hamandi, Khalid and Foley, Sonya and Weber, Bernd and Depondt, Chantal and Absil, Julie and Carr, Sarah J. A. and Abela, Eugenio and Richardson, Mark P. and Devinsky, Orrin and Severino, Mariasavina and Striano, Pasquale and Parodi, Costanza and Tortora, Domenico and Hatton, Sean N. and Vos, Sjoerd B. and Duncan, John S. and Galovic, Marian and Whelan, Christopher D. and Bargallo, Nuria and Pariente, Jose and Conde-Blanco, Estefania and Vaudano, Anna Elisabetta and Tondelli, Manuela and Meletti, Stefano and Kong, Xiang-Zhen and Francks, Clyde and Fisher, Simon E. and Caldairou, Benoit and Ryten, Mina and Labate, Angelo and Sisodiya, Sanjay M. and Thompson, Paul M. and McDonald, Carrie R. and Bernasconi, Andrea and Bernasconi, Neda and Bernhardt, Boris C.	Topographic divergence of atypical cortical asymmetry and atrophy patterns in temporal lobe epilepsy	BRAIN	Temporal lobe epilepsy, a common drug-resistant epilepsy in adults, is primarily a limbic network disorder associated with predominant unilateral hippocampal pathology. Structural MRI has provided an in vivo window into whole-brain grey matter structural alterations in temporal lobe epilepsy relative to controls, by either mapping (i) atypical inter-hemispheric asymmetry; or (ii) regional atrophy. However, similarities and differences of both atypical asymmetry and regional atrophy measures have not been systematically investigated. Here, we addressed this gap using the multisite ENIGMA-Epilepsy dataset comprising MRI brain morphological measures in 732 temporal lobe epilepsy patients and 1418 healthy controls. We compared spatial distributions of grey matter asymmetry and atrophy in temporal lobe epilepsy, contextualized their topographies relative to spatial gradients in cortical microstructure and functional connectivity calculated using 207 healthy controls obtained from Human Connectome Project and an independent dataset containing 23 temporal lobe epilepsy patients and 53 healthy controls and examined clinical associations using machine learning. We identified a marked divergence in the spatial distribution of atypical inter-hemispheric asymmetry and regional atrophy mapping. The former revealed a temporo-limbic disease signature while the latter showed diffuse and bilateral patterns. Our findings were robust across individual sites and patients. Cortical atrophy was significantly correlated with disease duration and age at seizure onset, while degrees of asymmetry did not show a significant relationship to these clinical variables. Our findings highlight that the mapping of atypical inter-hemispheric asymmetry and regional atrophy tap into two complementary aspects of temporal lobe epilepsy-related pathology, with the former revealing primary substrates in ipsilateral limbic circuits and the latter capturing bilateral disease effects. These findings refine our notion of the neuropathology of temporal lobe epilepsy and may inform future discovery and validation of complementary MRI biomarkers in temporal lobe epilepsy.	76	23	53	AND 207 from HCP	68	NA	full correlation	aggregated	yes (thresholding)	yes	Multiple	Before network estimation	before: other (site (sample matching)), scan related (motion), physiological noise (ICA-FIX denoising to remove cardiac/respiration artifacts, high-pass filtering)	no		  	#NAAM?					
Avelar-Pereira, B and Tam, GKY and Hosseini, SMH and Avelar-Pereira, Barbara and Tam, Grace K. -Y. and Hosseini, S. M. Hadi	The Effect of Body Posture on Resting-State Functional Connectivity	BRAIN CONNECTIVITY	Introduction: An important but under-investigated confound of functional magnetic resonance imaging (fMRI) is body posture. Although it is well established that body position changes cerebral blood flow, the amount of cerebrospinal fluid in the brain, intracranial pressure, and even the firing rate of certain cell types, there is currently no study that directly examines its effect on fMRI measurements. Moreover, fMRI is typically done in a supine position, which often does not correspond to how these processes are performed in everyday settings.Methods: In this study, 20 healthy adults underwent resting-state fMRI under three body positions: supine, right lateral decubitus (RLD), and left lateral decubitus (LLD). We first investigated whether there were differences in overall organization of whole-brain connectivity between conditions using graph theory. Second, we examined whether functional connectivity of two most studied default mode network (DMN) seeds to the rest of the brain was altered as a function of body position.Results: Nonparametric statistical analyses revealed that global network measures differed among conditions, with the supine and LLD showing identical results which differed when compared to the RLD. There was decreased connectivity for DMN seeds in the RLD condition compared to the supine and LLD, but there were no significant differences between the latter two conditions.Discussion: Potential mechanisms underlying these alterations include gravity, changes in physiology, and body anatomy. Our results suggest that, compared to supine and LLD, the RLD position leads to changes in whole-brain and DMN connectivity. Finally, depending on the research question, combining imaging modalities that allow for more naturalistic settings provides a better understanding of certain phenomena. Impact statementFunctional connectivity is sensitive to several confounds, including motion, heart rate, and respiration. Body posture is also an important but under-investigated confound. In this study, healthy adults were scanned in three different positions to investigate whether posture results in changes in connectivity. We found that connectivity was identical if participants were facing up or lying on their left, but it was altered when they were lying on their right. Results suggest that posture can lead to connectivity changes and, in some cases, the combined use of functional magnetic resonance imaging with other techniques might provide a better understanding of the phenomenon of interest.	20	NA	NA	NA	132	NA	full correlation	individual	yes (thresholding)	yes	Multiple	Before network estimation	before: scan related (motion), physiological (nuisance covariate regression, band-pass filtering), other (session) 	no								
Burkhardt, M and Thiel, CM and Giessing, C and Burkhardt, Micha and Thiel, Christiane M. and Giessing, Carsten	Robust Correlation for Link Definition in Resting-State fMRI Brain Networks Can Reduce Motion-Related Artifacts	BRAIN CONNECTIVITY	Introduction: It is well known that even small head movements introduce artifacts in resting-state functional magnetic resonance imaging data, and over the years, numerous methods were introduced to correct for this issue. The field of robust statistics, however, has not yet received much attention in this regard. In this article, we tested a recently developed statistical method called wrapping and compared it with two already established methods: data scrubbing and an independent component analysis-based approach for the automatic removal of motion artifacts (ICA-AROMA).Methods: A group of N = 120 healthy adult subjects were divided into high and low movement cohorts. The functional connectomes following wrapping, data scrubbing, and ICA-AROMA of the high movement cohort were compared with the mean functional connectome of the low movement cohort.Results and Discussion: Our results showed that wrapping could significantly decrease the Euclidean distance between connectomes of the two cohorts. Furthermore, wrapping was able to compensate the systematic effect of increased short distance correlations and reduced long distance correlations in functional connectomes, which often result from high subject motion. Our findings suggest that wrapping constitutes a valuable approach to correct for movement-related artifacts when estimating functional connectivity in the brain. Impact statementThe influence of subject motion on functional magnetic resonance imaging (fMRI) data is still an actively discussed topic. However, to handle this problem, the field of robust statistics has not been given much attention yet. We want to fill this void by introducing and validating a recently developed method for calculating robust correlations. Our study shows that estimating robust correlations can improve fMRI preprocessing, and documents for a wider readership that fMRI analyses can benefit from new methods in the field of robust statistics.	120	NA	NA	NA	248		full correlation	individual	not specified	yes	Multiple	Before network estimation	before: scan related (motion), physiological (band pass filtering, nuisance covariate regression, global signal regression) 	no		after: they test their method of reducing the effect of motion in scans by comparing high movement and low movement groups. Here, motion is the outcome variable of interest, so not a confounder. 	#NAAM?					
