Authors	Title	Journal	deconfounding	deconfounding level	Age	Sex_Gender	Scan_related	Biological_physiological	Clinical_psychological	Other	Not_specified	notes deconfounding 
Amiri, M and Fisher, PM and Raimondo, F and Sidaros, A and Hribljan, MC and Othman, MH and Zibrandtsen, I and Albrechtsen, SA and Bergdal, O and Hansen, AE and Hassager, C and Hojgaard, JLS and Jakobsen, EW and Jensen, HR and Moller, J and Nersesjan, V and Nikolic, M and Olsen, MH and Sigurdsson, ST and Sitt, JD and Solling, C and Welling, KL and Willumsen, LM and Hauerberg, J and Larsen, VA and Fabricius, ME and Knudsen, GM and Kjaergaard, J and Moller, K and Kondziella, D and Amiri, Moshgan and Fisher, Patrick M. and Raimondo, Federico and Sidaros, Annette and Hribljan, Melita Cacic and Othman, Marwan H. and Zibrandtsen, Ivan and Albrechtsen, Simon A. and Bergdal, Ove and Hansen, Adam Espe and Hassager, Christian and Hojgaard, Joan Lilja S. and Jakobsen, Elisabeth Waldemar and Jensen, Helene Ravnholt and Moller, Jacob and Nersesjan, Vardan and Nikolic, Miki and Olsen, Markus Harboe and Sigurdsson, Sigurdur Thor and Sitt, Jacobo D. and Solling, Christine and Welling, Karen Lise and Willumsen, Lisette M. and Hauerberg, John and Larsen, Vibeke Andree and Fabricius, Martin Ejler and Knudsen, Gitte Moos and Kjaergaard, Jesper and Moller, Kirsten and Kondziella, Daniel	Multimodal prediction of residual consciousness in the intensive care unit: the CONNECT-ME study	BRAIN	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (band-pass filtering, denoising with Conn toolbox)
Elias, GJB and Germann, J and Boutet, A and Loh, A and Li, B and Pancholi, A and Beyn, ME and Naheed, A and Bennett, N and Pinto, J and Bhat, V and Giacobbe, P and Woodside, DB and Kennedy, SH and Lozano, AM and Elias, Gavin J. B. and Germann, Jurgen and Boutet, Alexandre and Loh, Aaron and Li, Bryan and Pancholi, Aditya and Beyn, Michelle E. and Naheed, Asma and Bennett, Nicole and Pinto, Jessica and Bhat, Venkat and Giacobbe, Peter and Woodside, D. Blake and Kennedy, Sidney H. and Lozano, Andres M.	3T MRI of rapid brain activity changes driven by subcallosal cingulate deep brain stimulation	BRAIN	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion, linear detrending), physiological (nuisance covariate regression, global signal regression, band-pass filtering)
Hensel, L and Lange, F and Tscherpel, C and Viswanathan, S and Freytag, J and Volz, LJ and Eickhoff, SB and Fink, GR and Grefkes, C and Hensel, Lukas and Lange, Fabian and Tscherpel, Caroline and Viswanathan, Shivakumar and Freytag, Jana and Volz, Lukas J. and Eickhoff, Simon B. and Fink, Gereon R. and Grefkes, Christian	Recovered grasping performance after stroke depends on interhemispheric frontoparietal connectivity	BRAIN	Multiple	Before network estimation	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	before: age (sample matching), gender (sample matching), scan related (motion), physiological (nuisance covariate regression, band-pass filtering)
Kim, T and Kim, M and Jung, WH and Bin Kwak, Y and Moon, SY and Lho, SK and Lee, J and Kwon, JS and Kim, Taekwan and Kim, Minah and Jung, Wi Hoon and Bin Kwak, Yoo and Moon, Sun-Young and Lho, Silvia Kyungjin and Lee, Junhee and Kwon, Jun Soo	Unbalanced fronto-pallidal neurocircuit underlying set shifting in obsessive- compulsive disorder	BRAIN	Multiple	Before network estimation	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	before: age (sample matching), sex (sample matching), other (handedness, IQ (all sample matching)) scan related (motion, linear detrending), physiological (nuisance covariate regression, band-pass filtering)
Park, BY and Lariviere, S and Rodriguez-Cruces, R and Royer, J and Tavakol, S and Wang, YZ and Caciagli, L and Caligiuri, ME and Gambardella, A and Concha, L and Keller, SS and Cendes, F and Alvim, MKM and Yasuda, C and Bonilha, L and Gleichgerrcht, E and Focke, NK and Kreilkamp, BAK and Domin, M and von Podewils, F and Langner, S and Rummel, C and Rebsamen, M and Wiest, R and Martin, P and Kotikalapudi, R and Bender, B and O'Brien, TJ and Law, M and Sinclair, B and Vivash, L and Kwan, P and Desmond, PM and Malpas, CB and Lui, E and Alhusaini, S and Doherty, CP and Cavalleri, GL and Delanty, N and Kalviainen, R and Jackson, GD and Kowalczyk, M and Mascalchi, M and Semmelroch, M and Thomas, RH and Soltanian-Zadeh, H and Davoodi-Bojd, E and Zhang, JS and Lenge, M and Guerrini, R and Bartolini, E and Hamandi, K and Foley, S and Weber, B and Depondt, C and Absil, J and Carr, SJA and Abela, E and Richardson, MP and Devinsky, O and Severino, M and Striano, P and Parodi, C and Tortora, D and Hatton, SN and Vos, SB and Duncan, JS and Galovic, M and Whelan, CD and Bargallo, N and Pariente, J and Conde-Blanco, E and Vaudano, AE and Tondelli, M and Meletti, S and Kong, XZ and Francks, C and Fisher, SE and Caldairou, B and Ryten, M and Labate, A and Sisodiya, SM and Thompson, PM and McDonald, CR and Bernasconi, A and Bernasconi, N and Bernhardt, BC and Park, Bo-yong and Lariviere, Sara and Rodriguez-Cruces, Raul and Royer, Jessica and Tavakol, Shahin and Wang, Yezhou and Caciagli, Lorenzo and Caligiuri, Maria Eugenia and Gambardella, Antonio and Concha, Luis and Keller, Simon S. and Cendes, Fernando and Alvim, Marina K. M. and Yasuda, Clarissa and Bonilha, Leonardo and Gleichgerrcht, Ezequiel and Focke, Niels K. and Kreilkamp, Barbara A. K. and Domin, Martin and von Podewils, Felix and Langner, Soenke and Rummel, Christian and Rebsamen, Michael and Wiest, Roland and Martin, Pascal and Kotikalapudi, Raviteja and Bender, Benjamin and O'Brien, Terence J. and Law, Meng and Sinclair, Benjamin and Vivash, Lucy and Kwan, Patrick and Desmond, Patricia M. and Malpas, Charles B. and Lui, Elaine and Alhusaini, Saud and Doherty, Colin P. and Cavalleri, Gianpiero L. and Delanty, Norman and Kalviainen, Reetta and Jackson, Graeme D. and Kowalczyk, Magdalena and Mascalchi, Mario and Semmelroch, Mira and Thomas, Rhys H. and Soltanian-Zadeh, Hamid and Davoodi-Bojd, Esmaeil and Zhang, Junsong and Lenge, Matteo and Guerrini, Renzo and Bartolini, Emanuele and Hamandi, Khalid and Foley, Sonya and Weber, Bernd and Depondt, Chantal and Absil, Julie and Carr, Sarah J. A. and Abela, Eugenio and Richardson, Mark P. and Devinsky, Orrin and Severino, Mariasavina and Striano, Pasquale and Parodi, Costanza and Tortora, Domenico and Hatton, Sean N. and Vos, Sjoerd B. and Duncan, John S. and Galovic, Marian and Whelan, Christopher D. and Bargallo, Nuria and Pariente, Jose and Conde-Blanco, Estefania and Vaudano, Anna Elisabetta and Tondelli, Manuela and Meletti, Stefano and Kong, Xiang-Zhen and Francks, Clyde and Fisher, Simon E. and Caldairou, Benoit and Ryten, Mina and Labate, Angelo and Sisodiya, Sanjay M. and Thompson, Paul M. and McDonald, Carrie R. and Bernasconi, Andrea and Bernasconi, Neda and Bernhardt, Boris C.	Topographic divergence of atypical cortical asymmetry and atrophy patterns in temporal lobe epilepsy	BRAIN	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	before: other (site (sample matching)), scan related (motion), physiological noise (ICA-FIX denoising to remove cardiac/respiration artifacts, high-pass filtering)
Avelar-Pereira, B and Tam, GKY and Hosseini, SMH and Avelar-Pereira, Barbara and Tam, Grace K. -Y. and Hosseini, S. M. Hadi	The Effect of Body Posture on Resting-State Functional Connectivity	BRAIN CONNECTIVITY	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	before: scan related (motion), physiological (nuisance covariate regression, band-pass filtering), other (session) 
Burkhardt, M and Thiel, CM and Giessing, C and Burkhardt, Micha and Thiel, Christiane M. and Giessing, Carsten	Robust Correlation for Link Definition in Resting-State fMRI Brain Networks Can Reduce Motion-Related Artifacts	BRAIN CONNECTIVITY	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (band pass filtering, nuisance covariate regression, global signal regression) 
Kung, YC and Li, CW and Hsiao, FC and Tsai, PJ and Chen, S and Li, MK and Lee, HC and Chang, CY and Wu, CW and Lin, CP and Kung, Yi-Chia and Li, Chia-Wei and Hsiao, Fan-Chi and Tsai, Pei-Jung and Chen, Shuo and Li, Ming-Kang and Lee, Hsin-Chien and Chang, Chun-Yen and Wu, Changwei W. and Lin, Ching-Po	Cross-Scale Dynamicity of Entropy and Connectivity in the Sleeping Brain	BRAIN CONNECTIVITY	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion, signal drift by system instability), physiological (respiration/cardiac pulsations, band-pass filtering)
Manglani, HR and Fountain-Zaragoza, S and Shankar, A and Nicholas, JA and Prakash, RS and Manglani, Heena R. and Fountain-Zaragoza, Stephanie and Shankar, Anita and Nicholas, Jacqueline A. and Prakash, Ruchika Shaurya	Employing Connectome-Based Models to Predict Working Memory in Multiple Sclerosis	BRAIN CONNECTIVITY	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (global signal regression)
Phillips, NS and Rao, VK and Kmetz, L and Vela, R and Medick, S and Krull, K and Kesler, SR and Phillips, Nicholas S. and Rao, Vikram and Kmetz, Lorie and Vela, Ruben and Medick, Sarah and Krull, Kevin and Kesler, Shelli R.	Changes in Brain Functional and Effective Connectivity After Treatment for Breast Cancer and Implications for Intervention Targets	BRAIN CONNECTIVITY	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (band-pass filtering to remove physiological and non-neuronal noise factors)
Veselinovic, T and Rajkumar, R and Amort, L and Junger, J and Shah, NJ and Fimm, B and Neuner, I and Veselinovic, Tanja and Rajkumar, Ravichandran and Amort, Laura and Junger, Jessica and Shah, Nadim Jon and Fimm, Bruno and Neuner, Irene	Connectivity Patterns in the Core Resting-State Networks and Their Influence on Cognition	BRAIN CONNECTIVITY	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (nuisance regression, band pass filtering).
Birba, A and Fittipaldi, S and Escobar, JCC and Campo, CG and Legaz, A and Galiani, A and Rivera, MND and Caro, MM and Alifano, F and Pina-Escudero, SD and Cardona, JF and Neely, A and Forno, G and Carpinella, M and Slachevsky, A and Serrano, C and Sedeno, L and Ibanez, A and Garcia, AM and Birba, Agustina and Fittipaldi, Sol and Cediel Escobar, Judith C. and Gonzalez Campo, Cecilia and Legaz, Agustina and Galiani, Agostina and Diaz Rivera, Mariano N. and Martorell Caro, Miquel and Alifano, Florencia and Pina-Escudero, Stefanie D. and Cardona, Juan Felipe and Neely, Alejandra and Forno, Gonzalo and Carpinella, Mari and Slachevsky, Andrea and Serrano, Cecilia and Sedeno, Lucas and Ibanez, Agustin and Garcia, Adolfo M.	Multimodal Neurocognitive Markers of Naturalistic Discourse Typify Diverse Neurodegenerative Diseases	CEREBRAL CORTEX	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (band-pass filtering)
Chen, H and Lu, FM and Guo, XN and Pang, YJ and He, CC and Han, SQ and Duan, XJ and Chen, HF and Chen, Heng and Lu, Fengmei and Guo, Xiaonan and Pang, Yajing and He, Changchun and Han, Shaoqiang and Duan, Xujun and Chen, Huafu	Dimensional Analysis of Atypical Functional Connectivity of Major Depression Disorder and Bipolar Disorder	CEREBRAL CORTEX	Multiple	Before network estimation	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	before: scan related (motion), physiological (band-pass filter), age, gender, other (handedness, education)
Chen, ML and He, Y and Hao, L and Xu, JH and Tian, T and Peng, SY and Zhao, G and Lu, J and Zhao, YY and Zhao, H and Jiang, M and Gao, JH and Tan, SP and He, Y and Liu, C and Tao, S and Uddin, LQ and Dong, Q and Qin, SZ and Chen, Menglu and He, Ying and Hao, Lei and Xu, Jiahua and Tian, Ting and Peng, Siya and Zhao, Gai and Lu, Jing and Zhao, Yuyao and Zhao, Hui and Jiang, Min and Gao, Jia-Hong and Tan, Shuping and He, Yong and Liu, Chao and Tao, Sha and Uddin, Lucina Q. and Dong, Qi and Qin, Shaozheng	Default mode network scaffolds immature frontoparietal network in cognitive development	CEREBRAL CORTEX	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (band-pass filter)
Douw, L and Nissen, IA and Fitzsimmons, SMDD and Santos, FAN and Hillebrand, A and van Straaten, ECW and Stam, CJ and Hamer, PCD and Baayen, JC and Klein, M and Reijneveld, JC and Heyer, DB and Verhoog, MB and Wilbers, R and Hunt, S and Mansvelder, HD and Geurts, JJG and de Kock, CPJ and Goriounova, NA and Douw, Linda and Nissen, Ida A. and Fitzsimmons, Sophie M. D. D. and Santos, Fernando A. N. and Hillebrand, Arjan and van Straaten, Elisabeth C. W. and Stam, Cornelis J. and Hamer, Philip C. De Witt and Baayen, Johannes C. and Klein, Martin and Reijneveld, Jaap C. and Heyer, Djai B. and Verhoog, Matthijs B. and Wilbers, Rene and Hunt, Sarah and Mansvelder, Huibert D. and Geurts, Jeroen J. G. and de Kock, Christiaan P. J. and Goriounova, Natalia A.	Cellular Substrates of Functional Network Integration and Memory in Temporal Lobe Epilepsy	CEREBRAL CORTEX	Multiple	Before network estimation	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	before: scan related (motion), physiological (high-pass filter)
